 ROA(C) before interest and depreciation before interest, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Research and development expense rate
0.370594257300249,0.40574977247176,0.601457213277793,0.0
0.464290937454297,0.516730017666899,0.6102350855446171,0.0
0.42607127187637106,0.472295090743616,0.6014500064861129,25500000.0
0.39984400136498793,0.45773328336634705,0.583541129160121,0.0
0.46502218105591603,0.522297767546443,0.5987834935643349,0.0
0.38868034904694604,0.419133786605279,0.590171377506162,0.0
0.390922829425243,0.436158252583115,0.619949840729904,730000000.0
0.508360551845171,0.559077038385353,0.601738278153332,50900000.0
0.48851947545459,0.5432839017077999,0.6036120439902559,0.0
0.49568566275045095,0.542962685368596,0.5992086942734829,0.0
0.482474528347877,0.538197976337063,0.61402585796855,1900000000.0
0.444401111490274,0.498956046897585,0.623711785987114,1210000000.0
0.49115195242041604,0.543390973820868,0.608130702373917,0.0
0.474040852142544,0.5236897050163289,0.600577984692775,917000000.0
0.506703066348169,0.569837785748702,0.6046858559506479,0.0
0.513820504070589,0.5587558220461479,0.6217731590250649,79800000.0
0.48890947204212004,0.540285882541892,0.60652358782917,849000000.0
0.535952810412909,0.580919749451255,0.618450828060364,0.0
0.504070589382343,0.5586487499330799,0.5983438792718261,119000000.0
0.487398235265441,0.5336474115316671,0.636258810302829,0.0
0.485253254034027,0.534664596605814,0.622176739359172,1040000000.0
0.504558085116755,0.5530274639970021,0.607446057164272,1190000000.0
0.5120167698532639,0.5690347449006911,0.618933683102956,0.0
0.49485692000195003,0.540446490711494,0.6095071995848891,0.0
0.5099692877687321,0.552599175544729,0.602956225947333,0.0
0.444986106371569,0.495529739279405,0.6117629253808791,1240000000.0
0.519280456296007,0.568606456448418,0.626544055117543,900000000.0
0.547408960171598,0.592483537662616,0.6097378169186639,1440000000.0
0.500853117535222,0.550564805396434,0.602026549820551,577000000.0
0.41612635889436,0.463782857754698,0.5991150059816371,50900000.0
0.46219470579632393,0.514427967235933,0.599987027774975,0.0
0.476088334227076,0.529685743348145,0.618868821977832,1120000000.0
0.505874323599668,0.55982654317683,0.601168941610574,67900000.0
0.486374494223176,0.540500026768028,0.6034751149483271,0.0
0.494369424267538,0.548583971304674,0.599107799189957,0.0
0.475162092331692,0.52502810642968,0.6142780956773659,1380000000.0
0.462925949397943,0.517104770062637,0.6227028351518471,1090000000.0
0.47891580948666707,0.529310990952406,0.607042476830165,0.0
0.481060790718081,0.530863536591895,0.600880669943355,849000000.0
0.48622824550285204,0.5441404786123449,0.598444774355353,0.0
0.507824306537318,0.5492264039830829,0.625326107323542,1040000000.0
0.489153219909326,0.541517211842176,0.6044119978667901,968000000.0
0.511188027104763,0.559077038385353,0.6181769699765061,0.0
0.523034173450982,0.576422720702393,0.6003473673589991,119000000.0
0.508848047579584,0.5529203918839339,0.635718300926793,0.0
0.488958221615561,0.53894748112854,0.624317156488275,1100000000.0
0.5021206064446939,0.545853632421436,0.608865795125326,107000000.0
0.523082923024424,0.572353980405803,0.62094437798181,0.0
0.493345683225272,0.5398040580330851,0.610206258377895,0.0
0.5056305757324621,0.5491728679265491,0.6045633404920799,815000000.0
0.46955589138595,0.5225119117725789,0.619402124562187,165000000.0
0.52371666747916,0.5681781679961451,0.626414332867294,866000000.0
0.521912933261834,0.5681781679961451,0.609290995834474,1770000000.0
0.5031930970604009,0.550671877509503,0.603590423615215,475000000.0
0.45302978598937294,0.5055945179078111,0.596945761685813,0.0
0.472090869204894,0.517051234006103,0.597392582770003,136000000.0
0.066933164334812,0.0548209218908935,0.6018607936119,115000000.0
0.406668941646761,0.45345039884362104,0.595994465183989,0.0
0.48223078048067103,0.536431286471438,0.61808328168466,1240000000.0
0.48851947545459,0.540339418598426,0.600736534109745,67900000.0
0.476478330814605,0.5278119813694521,0.604635408408885,0.0
0.48812947886706004,0.547459714117458,0.5979475057293989,0.0
0.469165894798421,0.5161411210450241,0.6104729096700731,1430000000.0
0.48227953005411206,0.54012527437229,0.619048991769844,679000000.0
0.46419343830741494,0.515070399914342,0.605932630911371,0.0
0.47589333593331107,0.528775630387066,0.600736534109745,764000000.0
0.47350460683469,0.527972589539055,0.595122443390651,0.0
0.503534344074489,0.551474918357514,0.6203966618140939,1170000000.0
0.478330814605372,0.53027463997002,0.604102105824529,1170000000.0
0.496368156778628,0.545532416082231,0.612425950215483,79800000.0
0.544825232779213,0.589217838214037,0.600635639026218,84900000.0
0.520060449471067,0.5630922426254079,0.636784906095504,0.0
0.48881197289523703,0.53776968788479,0.623985644070973,1580000000.0
0.5323940915516989,0.57428127844103,0.608865795125326,985000000.0
0.525032905962073,0.576369184645859,0.619330056645383,0.0
0.489543216496856,0.5358959259060979,0.6075397454561179,0.0
0.5125530151611171,0.5588628941592161,0.603900315657476,0.0
0.48193828304002295,0.536110070132234,0.6188111676443879,2950000000.0
0.5401452737288549,0.582579367203812,0.6255999654074,713000000.0
0.523034173450982,0.570159002087906,0.6071649922887329,1410000000.0
0.5059230731731099,0.5520102789228549,0.602869744447167,560000000.0
0.43274996343782,0.48209218908935203,0.604015624324363,0.0
0.48062204455711,0.5346110605492801,0.617867077934245,1290000000.0
0.480085799249257,0.5346110605492801,0.597904264979317,102000000.0
0.47467459659728006,0.5278119813694521,0.605291226451808,0.0
0.46448593574806196,0.5204775416242841,0.596261116476167,0.0
0.48934821820309105,0.539911130146153,0.6062136957869101,1410000000.0
0.477697070150636,0.532309010118315,0.6198633592297379,900000000.0
0.463169697265149,0.515016863857808,0.6015509015696391,0.0
0.4685808999171261,0.522244231489909,0.5988988022312229,52600000.0
0.47667332910837,0.531452433213769,0.592499171218957,0.0
0.521620435821187,0.566893302639328,0.620454316147538,985000000.0
0.50514307999805,0.5614326248728521,0.602783262947001,1850000000.0
0.488616974601472,0.542213180577119,0.6096729557935401,1410000000.0
0.5129917613220879,0.56416296375609,0.596780005477162,50900000.0
0.5298591137327551,0.5799561004336421,0.637606480347079,866000000.0
0.47418710086286703,0.524064457412067,0.620526384064342,1820000000.0
0.496806902939599,0.543551581990471,0.602848124072126,781000000.0
0.52688538975284,0.571818619840463,0.619575087562519,0.0
0.48427826256520295,0.535574709566893,0.6051831245766011,441000000.0
0.513820504070589,0.5586487499330799,0.602682367863475,0.0
0.48340077024326006,0.537609079715188,0.6159284509721961,3310000000.0
0.538439038658412,0.582579367203812,0.6229190389022621,645000000.0
0.502705601325988,0.553348680336206,0.605752461119359,2280000000.0
